Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep) 
 06/01  03:40:00,18.2666666666667,20.4572452135946,20.3870769315658,20.3927047253153,20.3812689636507,20.4106304756563,20.6848455396602 
 06/01  03:41:00,18.2683333333333,20.4548361132123,20.3870121774415,20.3926785540652,20.3812322823009,20.4104239038915,20.6840175820956 
 06/01  03:42:00,18.27,20.452441959044,20.386947778832,20.3926523316587,20.3811957823475,20.4102190950785,20.6831951896032 
 06/01  03:43:00,18.2716666666667,20.4500614834004,20.3868837463372,20.3926260727688,20.3811594755549,20.4100160456965,20.6823783300677 
 06/01  03:44:00,18.2733333333333,20.4476956759022,20.3868200780577,20.3925997796184,20.3811233615515,20.409814739954,20.6815669431204 
 06/01  03:45:00,18.275,20.4453432951421,20.3867567850092,20.392573466996,20.3810874525636,20.4096151748053,20.680760997213 
 06/01  03:46:00,18.2766666666667,20.443005317124,20.3866938658461,20.3925471374039,20.3810517488053,20.4094173350942,20.6799604330705 
 06/01  03:47:00,18.2783333333333,20.4406805254148,20.3866313318378,20.3925208056398,20.3810162627879,20.4092212181366,20.6791652197517 
 06/01  03:48:00,18.28,20.4383698828378,20.386569182043,20.3924944743853,20.3809809951495,20.409026809305,20.6783752990897 
 06/01  03:49:00,18.2816666666667,20.4360721967169,20.3865074278643,20.3924681583704,20.3809459585543,20.4088341061935,20.6775906407832 
 06/01  03:50:00,18.2833333333333,20.4337884170983,20.3864460686511,20.3924418603817,20.3809111539414,20.4086430946225,20.6768111877814 
 06/01  03:51:00,18.285,20.4315173739323,20.3863851158492,20.3924155950262,20.38087659403,20.4084537724022,20.6760369104488 
 06/01  03:52:00,18.2866666666667,20.4292600048633,20.3863245690128,20.3923893651402,20.3808422799664,20.4082661257389,20.6752677528537 
 06/01  03:53:00,18.2883333333333,20.4270151614185,20.3862644395633,20.3923631851678,20.3808082244506,20.4080801526131,20.674503686045 
 06/01  03:54:00,18.29,20.4247837691916,20.3862047271937,20.3923370579538,20.3807744287648,20.4078958395694,20.6737446552086 
 06/01  03:55:00,18.2916666666667,20.4225647003124,20.386145443251,20.3923109977513,20.3807409055345,20.4077131847239,20.6729906320909 
 06/01  03:56:00,18.2933333333333,20.4203588686538,20.3860865875163,20.3922850073829,20.3807076561228,20.4075321749224,20.672241562989 
 06/01  03:57:00,18.295,20.418165166044,20.3860281712248,20.392259100891,20.3806746930388,20.4073528083907,20.6714974203547 
 06/01  03:58:00,18.2966666666667,20.4159844949459,20.3859701942063,20.3922332810529,20.3806420176842,20.4071750722467,20.6707581515864 
 06/01  03:59:00,18.2983333333333,20.4138157660465,20.3859126675565,20.3922075616873,20.3806096424213,20.4069989648065,20.6700237298445 
 06/01  04:00:00,18.3,20.4116598706928,20.385855591124,20.3921819455091,20.3805775686569,20.4068244734367,20.6692941036159 
